simulation,Parameter,Estimate,model
13,sim_wide_lf,0.5460065626701764,NA
13,sim_wtd,8.5329938317956e-4,NA
13,sim_moose,-0.07912140212556795,NA
13,sim_squirrel,0.055878945763090854,NA
13,sim_hare,0.1979636766584602,NA
13,sim_wolf,0.1939894979173139,NA
13,sim_lynx,0.16833089975321153,NA
13,sim_fisher,0.01453217037409206,NA
13,NA,NA,sim_global
14,(Intercept),-1.1187834547818762,NA
14,sim_nat_land,-0.3949302118560609,NA
14,sim_wide_lf,0.6060816670292516,NA
14,sim_wtd,0.020735931706950463,NA
14,sim_moose,-0.06974039237301277,NA
14,sim_squirrel,0.05422072887585032,NA
14,sim_hare,0.19101383072840852,NA
14,sim_wolf,0.1768487424177484,NA
14,sim_lynx,0.185619355145407,NA
14,sim_fisher,0.007086566584324437,NA
14,NA,NA,sim_global
15,(Intercept),-1.4503685535688406,NA
15,sim_nat_land,-0.1192648009463588,NA
15,sim_wide_lf,0.31767256019444035,NA
15,sim_wtd,0.06795622199474655,NA
15,sim_moose,-0.07709816192872013,NA
15,sim_squirrel,0.0825846955385858,NA
15,sim_hare,0.16714335315732334,NA
15,sim_wolf,0.1831089396321445,NA
15,sim_lynx,0.1485536608686393,NA
15,sim_fisher,0.036158092820557264,NA
15,NA,NA,sim_global
16,(Intercept),-1.3597811546519258,NA
16,sim_nat_land,-0.7865273375935113,NA
16,sim_wide_lf,0.4571187013292567,NA
16,sim_wtd,-0.06863371507297872,NA
16,sim_moose,-0.03859545392131822,NA
16,sim_squirrel,0.1341655908770166,NA
16,sim_hare,0.160097697789571,NA
16,sim_wolf,0.2173088032115924,NA
16,sim_lynx,0.19990464905557495,NA
16,sim_fisher,0.03813436104563398,NA
16,NA,NA,sim_global_int
17,(Intercept),-1.1416155437457496,NA
17,sim_nat_land,-0.3840759300337111,NA
17,sim_wide_lf,0.6986315710405941,NA
17,sim_wtd,0.07366320525525114,NA
17,sim_moose,-0.07414679482626918,NA
17,sim_squirrel,0.06186640180556856,NA
17,sim_hare,0.14001999675927523,NA
17,sim_wolf,0.18582026642264693,NA
17,sim_lynx,0.17211651420401455,NA
17,sim_fisher,-0.03198228967983712,NA
17,NA,NA,sim_global
18,(Intercept),-1.2697128491107548,NA
18,sim_nat_land,-0.48340765207029934,NA
