array,site,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,nat_land,coyote_pres,coyote_abs,coyote_tot,fisher,snowshoe_hare,white_tailed_deer,lynx,red_squirrel,moose,grey_wolf
LU15,LU15_18,0.014954747,0.002664155,0.009838429,0,8.030000000000003e-5,0,0.9816835039999998,5,7,6,0,1,2,8,1,5,4
LU15,LU15_43,0.01583970399999999,0.002628257,0.009052547,0,3.47e-5,0,0.9830254629999997,1,11,1,0,5,0,2,10,5,0
LU15,LU15_10,0.014474815,0.002355456,0.00927025,0,3.6790000000000005e-5,0,0.9847761480000001,4,8,8,0,2,126,3,0,14,9
LU15,LU15_58,0.01047843399999999,0.001520918,0.00975637799999999,0,3.609000000000001e-5,0,0.9895049159999998,4,8,7,0,2,2,12,22,35,9
LU15,LU15_08,0.010730996,0.001811856,0.00609121399999999,0.004152206,2.0678300000000004e-4,0,0.9894956150000002,3,9,6,0,20,14,9,5,0,1
LU15,LU15_12,0.01476371199999999,0.002433615,0.008091285,0.00400564399999999,3.55839e-4,0,0.9854398430000001,NA,NA,0,0,0,0,0,0,0,0
LU15,LU15_17,0.018101883,0.001057085,0.006635116,0.014146445,2.9294600000000004e-4,0,0.9954708620000006,0,12,0,0,3,0,0,2,0,0
LU15,LU15_01,0.009331255,0.002342888,0.014585818,0,4.65089e-4,0,0.9808640870000002,0,12,0,0,0,0,0,1,1,2
LU15,LU15_26,0.01182538399999999,0.002629486,0.013901579,0,4.013650000000001e-4,0,0.9782333300000001,0,12,0,1,5,1,0,1,0,3
LU15,LU15_27,0.01247395099999999,0.002698664,0.012654112,0,4.08888e-4,0,0.9744513269999997,2,10,2,0,2,0,4,0,8,11
LU15,LU15_28,0.012580009,0.002246861,0.010730453,0,4.059070000000001e-4,0,0.9718152339999999,2,10,2,0,0,0,0,0,1,1
LU15,LU15_02,0.008794541,0.001540453,0.01082077099999999,0,3.9389800000000006e-4,0,0.9747297939999998,0,12,0,5,0,0,1,1,2,0
LU15,LU15_29,0.01147376999999999,0.00211927699999999,0.010215565,0,3.72332e-4,0,0.9730530620000003,1,11,1,0,2,0,1,0,0,1
LU15,LU15_30,0.011312692,0.001976347,0.009877903,0,3.3387300000000005e-4,0,0.9711432529999999,0,12,0,0,43,1,5,22,16,0
LU15,LU15_31,0.010680651,0.001795435,0.008884887,0,3.1964099999999996e-4,0,0.9759474750000002,1,11,1,0,49,1,5,7,2,0
LU15,LU15_32,0.01000873399999999,0.00159854,0.00853178099999999,0,4.75072e-4,0,0.9791659659999999,5,7,8,0,65,2,15,139,4,0
LU15,LU15_20,0.00731957699999999,0.002400719,0.01262398099999999,0,2.22877e-4,0,0.9496034929999999,5,7,11,3,6,20,1,1,0,7
LU15,LU15_21,0.00849942399999999,0.00269646399999999,0.01161826699999999,0,6.440000000000002e-5,0,0.9713013269999998,2,10,4,2,3,6,0,5,5,2
LU15,LU15_23,0.010269269,0.003040874,0.014202228,0,2.40847e-4,0,0.9675095059999999,4,8,10,0,97,11,7,42,0,1
LU15,LU15_41,0.01127748,0.003275179,0.01504169799999999,0,2.40847e-4,0,0.9739523,1,11,1,0,9,24,1,3,1,0
LU15,LU15_25,0.013141603,0.00268459899999999,0.01102035799999999,0,9.430000000000002e-5,0,0.980034671,1,11,2,0,1,0,0,1,8,0
LU15,LU15_09,0.01114399099999999,0.002426664,0.011039515,0,1.137e-4,0,0.9812037640000001,3,9,36,4,8,1,0,7,0,1
LU15,LU15_24,0.00890176699999999,0.002719772,0.01265877399999999,0,1.617e-4,0,0.955396944,3,9,5,1,0,18,0,10,1,0
LU15,LU15_46,0.00982729699999999,0.002925247,0.012180853,0,6.13e-5,0,0.9665015270000002,1,11,3,0,18,19,3,18,1,1
LU15,LU15_40,0.019993348,9.514679999999998e-4,0.00679624299999999,0.01470942799999999,2.938820000000001e-4,0,0.9965165660000002,0,12,0,1,10,1,10,9,7,1
LU15,LU15_16,0.012219104,0.001277369,0.00659537,0.01149253399999999,3.2317800000000003e-4,0,0.9935741530000005,2,10,2,2,38,5,3,1,10,1
LU15,LU15_04,0.016558269,0.00267761299999999,0.01189300099999999,0,1.075e-4,0,0.981611281,3,9,5,0,8,0,8,6,1,0
LU15,LU15_36,0.01579213999999999,0.002932908,0.013440663,0,1.275e-4,0,0.979166765,1,11,1,1,5,0,2,79,0,0
LU15,LU15_03,0.013469416,0.003635972,0.016524919,0,1.94817e-4,0,0.972621595,2,10,5,1,8,13,0,35,0,0
LU15,LU15_15,0.01162105299999999,0.003303431,0.016360441,0,1.49758e-4,0,0.97322149,6,6,17,0,11,27,3,3,1,1
LU15,LU15_14,0.013493432,0.003778773,0.016454327,0,1.06424e-4,0,0.9675459660000001,4,8,4,1,2,47,4,4,6,0
LU15,LU15_22,0.013385008,6.65888e-4,0.007490889,0.021323497,0.008026204,0.008130943,0.9999999999999999,0,12,0,0,7,45,1,1,1,0
