site,Black bear,Coyote,Fisher,Snowshoe hare,Staff,Unknown deer,White-tailed deer,Cougar,Raven,Unknown,Domestic dog,Lynx,Other,Red fox,Red squirrel,Unknown mustelid,Striped skunk,Moose,Marten,Ruffed grouse,Unknown canid,Grey wolf,Spruce grouse,Unknown ungulate,Other birds,Mule deer,Owl,Beaver,Human,Elk,Caribou,Grey jay,ATVer,Snowmobiler,Arctic hare
LU2_54,7,3,0,8,2,0,118,0,0,2,0,2,0,0,1,0,0,0,10,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0
LU2_56,10,0,0,4,2,0,58,0,0,1,0,0,1,1,2,0,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_57,30,0,0,0,2,0,107,0,0,1,0,0,0,8,5,1,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_05,2,0,0,9,2,0,6,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LU3_07,7,8,0,31,2,0,11,0,0,2,0,5,0,0,13,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0
LU3_10,6,17,2,47,2,0,8,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU3_102,4,1,0,5,2,0,6,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LU3_103,2,1,0,8,2,0,1,0,0,1,0,4,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LU3_111,7,0,1,2,2,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LU3_126,3,1,0,2,2,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0
LU3_129,2,0,0,2,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_13,21,4,0,11,2,0,6,0,0,2,0,9,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LU3_131,1,0,1,8,2,0,8,0,0,0,0,7,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
LU3_137,5,3,1,15,2,0,5,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
LU3_14,3,1,0,1,2,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_147,7,2,1,2,2,0,50,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LU3_15,0,4,1,15,2,0,1,0,0,1,0,6,0,0,3,0,0,1,0,0,0,0,2,0,9,0,0,0,0,0,0,7,0,0,0
LU3_17,12,1,0,16,2,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_18,2,2,0,7,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
LU3_19,3,1,0,2,2,0,26,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,0,28,0,0,0,0
LU3_20,1,2,0,5,2,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LU3_21,3,5,0,20,2,3,25,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0
LU3_25,5,6,1,23,2,0,18,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0
LU3_27,4,2,0,0,2,1,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_28,3,9,0,2,2,0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0
LU3_32,12,0,0,0,2,8,55,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LU3_36,10,1,0,11,2,2,16,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
LU3_38,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_39,2,1,0,2,2,1,20,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_40,2,5,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
LU3_41,4,6,0,2,3,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_44,1,1,0,35,1,0,19,0,0,1,0,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_45,8,3,1,10,2,5,32,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LU3_46,6,1,2,5,2,2,9,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU3_48,12,13,0,128,3,0,2,0,0,3,0,17,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1
LU3_49,11,2,0,2,7,2,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3_50,10,6,0,1,2,2,28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU3_51,5,2,1,2,2,0,63,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,6,5,0
LU3_52,8,23,2,1,2,0,87,0,0,3,0,2,0,0,21,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
