site,black_bear,coyote,fisher,snowshoe_hare,white_tailed_deer,cougar,lynx,red_fox,moose,grey_wolf,caribou,wolverine,absent_black_bear,absent_coyote,absent_fisher,absent_snowshoe_hare,absent_white_tailed_deer,absent_cougar,absent_lynx,absent_red_fox,absent_moose,absent_grey_wolf,absent_caribou,absent_wolverine
LU3_15,0,2,1,6,1,0,5,0,1,0,0,0,8,9,10,5,10,11,6,11,10,11,11,0
LU3_17,3,1,0,8,4,0,2,0,0,1,0,0,5,10,11,3,7,11,9,11,11,10,11,0
LU3_18,1,2,0,3,0,0,1,0,0,0,1,0,7,9,11,8,11,11,10,11,11,11,10,0
LU3_19,3,1,0,1,8,0,2,0,1,0,5,0,5,10,11,10,3,11,9,11,10,11,6,0
LU3_20,1,2,0,4,4,0,2,0,0,0,1,0,4,5,7,3,3,7,5,7,7,7,6,0
LU3_21,2,4,0,6,5,0,3,0,1,0,2,0,3,3,7,1,2,7,4,7,6,7,5,0
LU3_25,3,4,1,7,4,0,2,0,0,0,3,0,2,3,6,0,3,7,5,7,7,7,4,0
LU3_27,3,2,0,0,6,0,0,0,1,0,0,0,2,5,7,7,1,7,7,7,6,7,7,0
LU3_28,2,3,0,2,6,0,2,0,0,0,0,0,3,4,7,5,1,7,5,7,7,7,7,0
LU3_32,3,0,0,0,7,0,1,0,0,0,0,0,2,7,7,7,0,7,6,7,7,7,7,0
LU3_36,3,1,0,3,4,0,0,0,5,0,0,0,2,6,7,4,3,7,7,7,2,7,7,0
LU3_38,1,0,1,0,0,0,1,0,0,0,0,0,4,7,6,7,7,7,6,7,7,7,7,0
LU3_39,2,1,0,1,6,0,5,0,1,0,0,0,3,6,7,6,1,7,2,7,6,7,7,0
LU3_40,1,2,0,0,3,0,0,0,0,0,1,0,4,5,7,7,4,7,7,7,7,7,6,0
LU3_41,2,4,0,1,4,0,0,0,0,0,0,0,3,3,7,6,3,7,7,7,7,7,7,0
LU3_44,1,1,0,7,6,0,2,0,1,1,0,0,7,10,11,4,5,11,9,11,10,10,11,0
LU3_45,4,2,1,3,5,0,1,0,0,0,0,0,1,5,6,4,2,7,6,7,7,7,7,0
LU3_46,3,1,2,3,3,0,2,0,1,0,0,0,2,6,5,4,4,7,5,7,6,7,7,0
LU3_48,3,5,0,11,2,0,5,0,0,0,0,0,5,6,11,0,9,11,6,11,11,11,11,0
LU3_49,3,2,0,2,6,0,2,0,0,0,0,0,2,5,7,5,1,7,5,7,7,7,7,0
LU3_50,3,1,0,1,5,0,1,0,0,0,0,0,2,6,7,6,2,7,6,7,7,7,7,0
LU3_51,3,2,1,1,7,0,2,0,0,0,2,0,2,5,6,6,0,7,5,7,7,7,5,0
LU3_52,2,7,2,1,7,0,2,0,1,0,0,0,3,0,5,6,0,7,5,7,6,7,7,0
LU01_06,7,4,4,4,12,0,0,0,3,0,0,0,5,10,10,10,2,14,14,14,11,14,14,14
LU01_10,3,4,3,1,5,0,0,0,2,0,0,0,3,1,2,4,0,5,5,5,3,5,5,5
LU01_11,4,8,3,3,12,1,1,2,5,2,0,0,8,6,11,11,2,13,13,12,9,12,14,14
LU01_13,7,10,3,0,12,0,0,0,9,0,0,0,5,5,12,15,3,15,15,15,6,15,15,15
LU01_22,8,11,2,8,13,1,1,0,1,0,0,0,4,3,12,6,1,13,13,14,13,14,14,14
LU01_25,9,9,1,2,14,0,1,0,0,0,0,0,3,5,13,12,0,14,13,14,14,14,14,14
LU01_27,4,11,1,2,15,0,0,0,2,1,0,0,8,4,14,13,0,15,15,15,13,14,15,15
LU01_30,5,0,2,0,9,0,0,0,4,0,0,0,7,15,13,15,6,15,15,15,11,15,15,15
LU01_32,7,9,0,12,12,0,0,4,1,0,0,0,5,6,15,3,3,15,15,11,14,15,15,15
LU01_36,7,4,3,4,10,0,2,0,0,0,0,0,5,11,12,11,5,15,13,15,15,15,15,15
LU01_40,8,7,3,7,10,0,1,0,3,0,0,0,3,7,11,7,4,14,13,14,11,14,14,14
LU01_41,4,6,0,8,11,0,0,2,2,1,0,0,8,9,15,7,4,15,15,13,13,14,15,15
LU01_43,1,10,2,13,10,0,1,0,1,0,0,0,11,4,12,1,4,14,13,14,13,14,14,14
LU01_44,2,7,6,7,11,0,0,7,0,0,0,0,10,8,9,8,4,15,15,8,15,15,15,15
LU01_45,3,4,2,6,13,1,2,0,1,0,0,0,9,10,12,8,1,13,12,14,13,14,14,14
LU01_46,3,11,3,11,14,1,2,0,0,0,0,0,9,3,11,3,0,13,12,14,14,14,14,14
LU01_47,6,14,2,15,15,1,2,9,3,0,0,0,6,1,13,0,0,14,13,6,12,15,15,15
LU01_48,6,5,6,3,14,2,1,0,0,0,0,0,6,9,8,11,0,12,13,14,14,14,14,14
LU01_60,4,2,0,6,11,0,1,0,2,0,0,0,8,12,14,8,3,14,13,14,12,14,14,14
LU01_63,2,5,0,0,5,0,4,0,2,1,0,0,4,1,6,6,1,6,2,6,4,5,6,6
LU01_64,4,3,0,0,15,0,0,0,1,0,0,0,8,12,15,15,0,15,15,15,14,15,15,15
LU01_66,3,7,0,7,13,0,5,0,7,0,0,0,9,8,15,8,2,15,10,15,8,15,15,15
LU01_67,7,7,6,15,13,0,1,5,2,0,0,0,5,8,9,0,2,15,14,10,13,15,15,15
LU01_70,1,2,1,3,9,0,1,1,2,1,0,0,6,7,8,6,0,9,8,8,7,8,9,9
LU01_71,4,11,4,4,10,0,1,0,0,0,0,0,8,3,10,10,4,14,13,14,14,14,14,14
LU01_72,4,3,0,1,4,0,0,0,0,0,0,0,0,1,4,3,0,4,4,4,4,4,4,4
LU01_73,2,11,0,15,9,0,3,0,7,0,0,0,10,4,15,0,6,15,12,15,8,15,15,15
LU01_74,4,6,3,13,14,0,5,1,0,2,0,0,8,9,12,2,1,15,10,14,15,13,15,15
LU01_75,4,9,1,7,10,0,0,0,0,1,0,0,8,6,14,8,5,15,15,15,15,14,15,15
LU01_76,2,7,0,5,7,0,1,2,1,1,0,0,4,0,7,2,0,7,6,5,6,6,7,7
LU01_77,2,1,0,0,3,0,0,0,0,0,0,0,2,3,4,4,1,4,4,4,4,4,4,4
LU01_78,1,3,0,4,7,0,3,0,0,0,0,0,11,11,14,10,7,14,11,14,14,14,14,14
LU01_79,3,9,1,14,6,0,1,0,0,0,0,0,9,6,14,1,9,15,14,15,15,15,15,15
LU01_80,3,6,1,1,12,0,0,1,0,2,0,0,9,8,13,13,2,14,14,13,14,12,14,14
LU01_82,6,6,6,12,6,0,3,0,0,0,0,0,6,9,9,3,9,15,12,15,15,15,15,15
LU01_83,5,5,0,3,5,0,1,0,0,0,0,0,7,9,14,11,9,14,13,14,14,14,14,14
LU01_84,6,6,1,13,9,0,2,1,1,1,0,0,6,9,14,2,6,15,13,14,14,14,15,15
LU01_85,5,6,3,9,10,0,1,0,1,2,0,0,3,6,9,3,2,12,11,12,11,10,12,12
LU01_86,2,8,2,1,13,0,0,0,0,0,0,0,8,6,12,13,1,14,14,14,14,14,14,14
LU13_03,6,5,0,0,3,0,0,0,4,0,0,0,3,7,12,12,9,12,12,12,8,12,12,12
LU13_05,2,0,0,0,4,0,0,0,5,0,0,0,7,13,13,13,9,13,13,13,8,13,13,13
LU13_06,1,0,0,1,0,0,0,0,0,0,0,0,8,13,13,12,13,13,13,13,13,13,13,13
LU13_08,4,0,0,1,0,0,0,0,0,1,0,0,5,13,13,12,13,13,13,13,13,12,13,13
LU13_11,1,4,0,8,0,0,2,0,0,0,0,0,8,9,13,5,13,13,11,13,13,13,13,13
LU13_12,2,1,0,2,2,0,1,0,3,0,0,0,7,12,13,11,11,13,12,13,10,13,13,13
LU13_128,4,4,0,6,2,0,5,0,4,7,0,0,5,9,13,7,11,13,8,13,9,6,13,13
LU13_13,5,2,1,3,4,0,2,0,3,2,0,1,4,11,12,10,9,13,11,13,10,11,13,12
LU13_131,5,1,0,7,2,0,7,0,4,1,0,3,4,12,13,6,11,13,6,13,9,12,13,10
LU13_14,3,3,0,4,3,0,1,0,3,0,0,0,6,10,13,9,10,13,12,13,10,13,13,13
LU13_15,4,8,0,9,5,0,1,0,0,3,0,0,5,4,12,3,7,12,11,12,12,9,12,12
LU13_16,3,7,0,3,3,0,4,0,1,0,0,0,6,5,12,9,9,12,8,12,11,12,12,12
LU13_17,5,5,0,5,2,0,3,0,5,0,0,0,4,8,13,8,11,13,10,13,8,13,13,13
LU13_18,1,9,0,11,4,0,4,0,0,0,0,0,8,3,12,1,8,12,8,12,12,12,12,12
LU13_19,2,0,0,10,0,0,1,0,6,2,0,0,7,13,13,3,13,13,12,13,7,11,13,13
LU13_20,3,1,0,6,0,0,2,0,2,0,0,0,6,12,13,7,13,13,11,13,11,13,13,13
LU13_21,1,9,0,8,4,0,1,0,0,0,0,0,8,3,12,4,8,12,11,12,12,12,12,12
LU13_22,3,5,0,7,0,0,2,0,4,0,0,0,6,8,13,6,13,13,11,13,9,13,13,13
LU13_26,3,0,1,3,0,0,1,0,3,1,0,0,6,13,12,10,13,13,12,13,10,12,13,13
LU13_27,0,0,0,5,0,0,0,0,0,0,0,0,9,13,13,8,13,13,13,13,13,13,13,13
LU13_30,4,7,0,5,3,0,2,1,4,2,0,0,5,6,13,8,10,13,11,12,9,11,13,13
LU13_32,3,1,0,9,1,0,2,0,1,0,0,1,6,12,13,4,12,13,11,13,12,13,13,12
LU13_33,2,4,0,8,1,0,9,0,2,0,0,1,7,9,13,5,12,13,4,13,11,13,13,12
LU13_34,2,3,1,0,0,0,0,0,0,3,0,0,7,9,11,12,12,12,12,12,12,9,12,12
LU13_35,7,3,0,0,1,0,0,0,6,1,2,0,2,10,13,13,12,13,13,13,7,12,11,13
LU13_36,1,0,1,0,0,0,0,0,2,0,0,0,8,13,12,13,13,13,13,13,11,13,13,13
LU13_37,2,0,0,3,0,0,1,0,1,0,0,0,7,12,12,9,12,12,11,12,11,12,12,12
LU13_38,2,0,0,2,0,0,4,0,2,1,0,0,7,13,13,11,13,13,9,13,11,12,13,13
LU13_41,4,2,0,0,0,0,5,0,2,0,0,0,5,11,13,13,13,13,8,13,11,13,13,13
LU13_43,0,0,0,3,0,0,1,0,3,0,0,0,9,13,13,10,13,13,12,13,10,13,13,13
LU13_45,2,0,0,5,0,0,1,0,3,0,0,0,7,13,13,8,13,13,12,13,10,13,13,13
LU13_47,1,1,0,3,0,0,2,0,3,0,0,0,8,11,12,9,12,12,10,12,9,12,12,12
LU13_49,1,3,0,13,0,0,4,0,2,0,0,0,8,10,13,0,13,13,9,13,11,13,13,13
LU13_51,4,1,0,0,1,0,3,0,2,3,0,1,5,12,13,13,12,13,10,13,11,10,13,12
LU13_52,2,3,0,0,1,0,0,0,2,2,0,0,7,10,13,13,12,13,13,13,11,11,13,13
LU13_53,2,1,0,5,0,0,0,0,1,1,0,1,7,12,13,8,13,13,13,13,12,12,13,12
LU13_55,1,0,0,0,0,0,0,0,0,0,0,0,8,12,12,12,12,12,12,12,12,12,12,12
LU13_56,2,0,0,9,0,0,1,0,1,0,0,0,7,13,13,4,13,13,12,13,12,13,13,13
LU13_57,0,2,0,2,0,0,1,0,1,0,0,0,9,10,12,10,12,12,11,12,11,12,12,12
LU13_59,1,0,0,3,0,0,0,0,1,0,0,0,8,13,13,10,13,13,13,13,12,13,13,13
LU13_70,3,1,0,2,0,0,1,0,3,0,0,0,6,12,13,11,13,13,12,13,10,13,13,13
LU15_01,2,0,0,0,0,0,0,5,1,1,5,0,7,12,12,12,12,12,12,7,11,11,7,12
LU15_02,3,0,3,0,0,0,1,1,2,0,4,0,6,12,9,12,12,12,11,11,10,12,8,12
LU15_03,2,2,1,4,5,0,0,0,0,0,0,0,7,10,11,8,7,12,12,12,12,12,12,12
LU15_04,3,3,0,5,0,0,4,2,1,0,4,0,6,9,12,7,12,12,8,10,11,12,8,12
LU15_07,3,2,0,10,3,0,0,0,5,1,0,0,6,10,12,2,9,12,12,12,7,11,12,12
LU15_08,3,3,0,6,5,0,8,0,0,1,0,0,6,9,12,6,7,12,4,12,12,11,12,12
LU15_09,2,3,2,6,1,0,0,0,0,1,0,0,7,9,10,6,11,12,12,12,12,11,12,12
LU15_10,5,4,0,1,9,0,3,0,5,6,0,0,4,8,12,11,3,12,9,12,7,6,12,12
LU15_11,1,1,0,0,0,0,0,0,0,0,2,0,8,11,12,12,12,12,12,12,12,12,10,12
LU15_14,4,4,0,2,7,0,2,0,4,0,1,0,5,8,12,10,5,12,10,12,8,12,11,12
LU15_15,0,6,0,5,7,0,3,0,1,1,0,0,9,6,12,7,5,12,9,12,11,11,12,12
LU15_16,4,2,2,9,2,0,3,2,3,1,1,0,5,10,10,3,10,12,9,10,9,11,11,12
LU15_17,0,0,0,3,0,0,0,0,0,0,0,0,9,12,12,9,12,12,12,12,12,12,12,12
LU15_18,6,5,0,1,2,0,6,0,3,2,3,0,3,7,12,11,10,12,6,12,9,10,9,12
LU15_19,0,1,0,1,0,0,1,0,2,0,0,0,9,11,12,11,12,12,11,12,10,12,12,12
LU15_20,3,5,3,5,6,0,1,0,0,4,0,0,6,7,9,7,6,12,11,12,12,8,12,12
LU15_21,2,2,2,3,5,0,0,0,1,2,0,0,7,10,10,9,7,12,12,12,11,10,12,12
LU15_22,3,0,0,3,9,0,1,0,1,0,0,0,6,12,12,9,3,12,11,12,11,12,12,12
LU15_23,2,4,0,11,5,0,5,0,0,1,1,0,7,8,12,1,7,12,7,12,12,11,11,12
LU15_24,2,3,1,0,7,0,0,0,1,0,0,0,7,9,11,12,5,12,12,12,11,12,12,12
LU15_25,2,1,0,1,0,0,0,0,4,0,0,0,7,11,12,11,12,12,12,12,8,12,12,12
LU15_26,0,0,1,2,1,0,0,2,0,1,0,0,9,12,11,10,11,12,12,10,12,11,12,12
LU15_27,5,2,0,1,0,0,2,3,3,5,2,0,4,10,12,11,12,12,10,9,9,7,10,12
LU15_28,0,2,0,0,0,0,0,4,1,1,1,0,9,10,12,12,12,12,12,8,11,11,11,12
LU15_29,1,1,0,2,0,0,1,4,0,1,3,0,8,11,12,10,12,12,11,8,12,11,9,12
LU15_30,2,0,0,8,1,0,2,1,5,0,0,0,7,12,12,4,11,12,10,11,7,12,12,12
LU15_31,0,1,0,8,1,0,3,0,1,0,0,0,9,11,12,4,11,12,9,12,11,12,12,12
LU15_32,3,5,0,11,1,0,9,0,3,0,0,0,6,7,12,1,11,12,3,12,9,12,12,12
LU15_34,0,1,0,3,1,0,1,0,4,2,1,0,9,11,12,9,11,12,11,12,8,10,11,12
LU15_36,1,1,1,3,0,0,2,0,0,0,0,0,8,11,11,9,12,12,10,12,12,12,12,12
LU15_37,1,1,0,6,0,0,1,1,0,0,1,0,8,11,12,6,12,12,11,11,12,12,11,12
LU15_40,0,0,1,4,1,0,5,0,6,1,2,0,9,12,11,8,11,12,7,12,6,11,10,12
LU15_41,4,1,0,7,7,0,1,0,0,0,0,0,5,11,12,5,5,12,11,12,12,12,12,12
LU15_43,3,1,0,2,0,0,2,0,4,0,3,0,6,11,12,10,12,12,10,12,8,12,9,12
LU15_44,1,5,1,12,0,0,3,0,0,1,0,0,8,7,11,0,12,12,9,12,12,11,12,12
LU15_46,4,1,0,6,7,0,3,0,1,1,0,0,5,11,12,6,5,12,9,12,11,11,12,12
LU15_58,5,4,0,0,2,0,9,0,7,2,0,0,4,8,12,12,10,12,3,12,5,10,12,12
LU15_61,6,2,1,9,5,0,6,0,2,0,0,0,3,10,11,3,7,12,6,12,10,12,12,12
LU21_06,6,0,1,8,3,0,4,0,1,1,0,0,4,12,11,4,9,12,8,12,11,11,12,12
LU21_09,7,3,0,0,9,1,1,0,6,3,0,0,2,9,12,12,3,11,11,12,6,9,12,12
LU21_10,1,0,1,0,7,0,0,1,6,2,0,0,8,12,11,12,5,12,12,11,6,10,12,12
LU21_100,7,0,0,0,7,0,0,0,2,3,0,0,2,12,12,12,5,12,12,12,10,9,12,12
LU21_105,0,1,0,0,6,0,1,0,3,0,0,0,10,11,12,12,6,12,11,12,9,12,12,12
LU21_106,6,1,0,6,8,0,1,0,2,1,0,0,3,11,12,6,4,12,11,12,10,11,12,12
LU21_107,7,1,0,3,7,0,1,0,2,1,1,0,2,11,12,9,5,12,11,12,10,11,11,12
LU21_109,1,1,0,2,6,0,2,0,0,0,0,0,8,11,12,10,6,12,10,12,12,12,12,12
LU21_114,3,0,0,0,3,0,0,0,3,0,0,0,7,12,12,12,9,12,12,12,9,12,12,12
LU21_116,6,0,1,0,10,0,0,0,4,2,0,0,4,12,11,12,2,12,12,12,8,10,12,12
LU21_119,2,0,0,8,10,1,3,0,4,0,0,0,8,12,12,4,2,11,9,12,8,12,12,12
LU21_122,4,0,1,2,4,0,1,0,2,3,0,0,5,12,11,10,8,12,11,12,10,9,12,12
LU21_126,3,0,0,1,1,0,0,0,4,2,5,0,6,12,12,11,11,12,12,12,8,10,7,12
LU21_14,5,0,2,2,8,0,2,0,4,2,0,0,4,12,10,10,4,12,10,12,8,10,12,12
LU21_153,0,1,0,3,0,0,1,0,0,0,0,0,10,11,12,9,12,12,11,12,12,12,12,12
LU21_16,6,0,5,8,7,0,4,0,7,0,0,0,3,12,7,4,5,12,8,12,5,12,12,12
LU21_164,7,3,0,0,8,0,0,3,2,0,0,0,2,9,12,12,4,12,12,9,10,12,12,12
LU21_21,3,0,1,0,10,0,0,0,5,0,0,0,6,12,11,12,2,12,12,12,7,12,12,12
LU21_23,3,0,1,3,2,0,1,0,1,0,0,0,6,12,11,9,10,12,11,12,11,12,12,12
LU21_27,3,0,4,0,2,0,0,0,1,1,3,0,6,12,8,12,10,12,12,12,11,11,9,12
LU21_32,2,0,0,0,0,0,0,0,3,0,2,0,7,12,12,12,12,12,12,12,9,12,10,12
LU21_36,6,2,2,0,8,0,0,0,5,5,0,0,3,10,10,12,4,12,12,12,7,7,12,12
LU21_41,1,0,2,5,1,0,1,0,3,0,2,0,8,12,10,7,11,12,11,12,9,12,10,12
LU21_52,6,3,0,8,7,0,8,0,2,1,0,0,3,9,12,4,5,12,4,12,10,11,12,12
LU21_56,2,0,0,1,9,0,6,0,2,2,0,0,7,12,12,11,3,12,6,12,10,10,12,12
LU21_57,2,0,2,3,8,0,0,0,7,0,0,0,7,12,10,9,4,12,12,12,5,12,12,12
LU21_59,2,0,0,0,6,0,0,0,8,1,0,0,8,12,12,12,6,12,12,12,4,11,12,12
LU21_63,0,2,1,0,3,0,1,1,1,1,0,0,6,6,7,8,5,8,7,7,7,7,8,8
LU21_68,6,4,0,1,10,0,0,2,5,0,0,0,4,8,12,11,2,12,12,10,7,12,12,12
LU21_74,3,0,1,4,6,0,0,0,5,0,0,0,6,12,11,8,6,12,12,12,7,12,12,12
LU21_78,4,0,0,0,10,0,0,0,5,3,0,0,6,12,12,12,2,12,12,12,7,9,12,12
LU21_82,6,3,1,1,10,0,3,0,4,0,0,0,3,9,11,11,2,12,9,12,8,12,12,12
LU21_871,7,2,1,1,9,0,2,0,7,2,0,0,2,10,11,11,3,12,10,12,5,10,12,12
LU21_93,5,5,1,7,9,0,1,0,3,3,0,0,5,7,11,5,3,12,11,12,9,9,12,12
LU21_97,6,0,0,0,8,0,0,0,7,1,0,0,4,12,12,12,4,12,12,12,5,11,12,12
LU21_98,3,0,1,0,2,0,0,0,4,0,0,0,6,12,11,12,10,12,12,12,8,12,12,12
