array,site,buff_dist,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU13,LU13_18,250,0,0,0,0,0,0.005879016000000002,0.06421027200000003,0,0,0.1928166,0.4555943770000001,0,0,0,0.3155169260000001,0.3828720790000001
LU13,LU13_15,250,0,0.067955759,0.017425857000000006,0.032770789,0,0.002800676,0,0.08579617700000006,0,0.34823323999999983,0.3583255190000001,0,0.100603367,0.091599197,0,0.156983308
LU13,LU13_03,250,0.687019855,0,0,0,0,0,0,0,0,0,0.185976544,0,0.255262006,0,0.5587614500000002,0
LU13,LU13_34,250,0.336894195,0,0,0.008885480999999999,0,0.015911927,0,0,0,0,1,0,0,0,0,0
LU13,LU13_57,250,0,0.030100086999999994,0,0.011444236,0.052342435,0,0.09101129799999998,0,0.032230409,0.17842140300000006,0.821578597,0,0,0,0,0
LU13,LU13_16,250,0,0,0,0.007469759,0,0,0,0,0,0,0.688877393,0.13031193400000005,0,0,0,0.4413844680000001
LU13,LU13_21,250,0,0.045671191000000014,0.021805549,0,0,0.012262139,0.041562149000000013,6.13147e-4,0,0.10601473900000002,0.2827818,0,0,0.19504073800000005,0.3220819010000001,0.5579842910000001
LU13,LU13_37,250,0,0,0.03127947,0.015649638999999993,0,0,0,0.102167639,0.012157340999999999,0,1,0,0,0,0,0
LU13,LU13_55,250,0,0,0.028592165,0,0,0,0,0.094011602,0,0,0.39174325399999993,0,0,0,0.6082567459999997,0
LU13,LU13_47,250,0,0.038335251,0.053289755,0.009766400999999996,0.059993998000000014,0,0,0.008142382,0.0022983780000000002,0,1,0,0,0,0,0.109628611
LU13,LU13_51,250,0,0.240164877,0.016025557000000006,0,0,0,0.02690191600000002,0.015622727999999995,0,0.10857872100000003,0.891421279,0,0,0,0,0
LU13,LU13_27,250,0,0.06068971,0.017039747999999993,0.014298316,0,0,0.0798281,0.017360435000000014,0,0.13957314,0.86042686,0,0,0,0,0
LU13,LU13_05,250,0,0.26433109,0.017265647000000005,0,0,0,0.131534874,0.01712924299999999,0,0.15827211500000005,0.8417278850000002,0,0,0,0,0
LU13,LU13_26,250,0,0.093083324,0.020873028,0,0,0,0.08817940599999997,0.020912238,0,0.20310825200000004,0.796891748,0,0,0,0,0
