site,Black bear,Coyote,Fisher,Moose,Other birds,Red squirrel,Snowshoe hare,Staff,Unknown,Unknown deer,Unknown mustelid,White-tailed deer,Raven,Striped skunk,Cougar,Grey wolf,Lynx,Red fox,Ruffed grouse,Unknown canid,Unknown ungulate,Short-tailed weasel,Human,Spruce grouse,Domestic dog,Porcupine,Otter,Grey jay,Owl,Other,Beaver,Marten,ATVer,Wolverine,Caribou,Long-tailed weasel,Hunter,Snowmobiler,Canada goose
LU01_77,3,4,0,0,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_78,1,9,0,1,0,0,9,2,4,1,0,16,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_79,6,19,1,0,0,2,91,2,8,4,0,10,0,2,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU01_80,5,7,1,0,0,0,1,2,2,1,0,60,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_82,7,13,6,0,1,60,68,2,8,0,1,10,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LU01_83,10,13,0,0,2,17,5,2,4,0,0,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_84,21,13,1,1,2,56,229,2,16,1,0,49,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_85,13,20,3,1,0,31,29,1,5,1,1,64,0,0,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_86,3,12,2,0,0,16,1,1,7,5,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_03,64,10,0,9,4,0,0,2,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_05,2,0,0,9,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU13_06,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU13_08,7,0,0,0,0,77,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_11,1,5,0,0,0,0,40,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_12,3,1,0,3,0,0,5,2,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_128,14,7,0,6,0,6,16,2,2,1,0,4,0,0,0,13,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
LU13_13,16,3,1,3,0,4,5,2,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LU13_131,7,1,0,7,0,4,17,2,4,0,0,3,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
LU13_14,13,4,0,4,0,0,7,2,8,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_15,8,11,0,0,0,3,17,2,3,0,1,8,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU13_16,4,10,0,3,1,20,3,2,4,1,0,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU13_17,12,17,0,8,0,3,15,2,2,1,0,2,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_18,5,30,0,0,0,35,74,2,2,0,0,13,0,1,0,0,4,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_19,3,0,0,6,0,6,42,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_20,4,1,0,2,0,3,12,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_21,1,32,0,0,0,7,17,2,3,1,0,14,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_22,7,7,0,4,0,4,26,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_26,6,0,1,5,0,7,4,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_27,0,0,0,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
LU13_30,5,16,0,4,1,1,7,2,1,0,1,6,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0
LU13_32,4,1,0,1,0,1,33,2,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LU13_33,3,4,0,2,0,18,22,2,2,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LU13_34,10,3,2,0,2,27,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LU13_35,22,3,0,12,1,1,0,2,4,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LU13_36,2,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_37,3,0,0,2,0,1,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_38,3,0,0,3,0,0,3,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
LU13_41,4,2,0,4,0,0,0,2,1,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_43,0,0,0,3,0,2,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LU13_45,2,0,0,4,0,1,11,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_47,1,1,0,5,0,0,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_49,2,10,0,3,0,0,49,2,0,0,0,0,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_51,15,1,0,2,0,0,0,2,0,0,0,1,0,0,0,8,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LU13_52,5,3,0,2,1,0,0,2,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU13_53,2,1,0,1,1,5,14,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0
LU13_55,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_56,2,0,0,1,0,1,83,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_57,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_59,8,0,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_70,3,1,0,5,0,1,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LU15_01,4,0,0,1,4,1,0,2,4,1,1,0,0,0,0,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0
LU15_02,9,0,5,2,1,1,0,2,2,0,8,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0
LU15_03,2,5,1,0,1,35,8,2,1,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LU15_04,6,5,0,1,0,6,8,2,2,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0
LU15_07,5,3,0,8,0,6,62,2,10,1,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_08,11,6,0,0,1,5,20,2,1,0,0,14,0,0,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU15_09,3,36,4,0,0,7,8,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU15_10,34,8,0,14,1,0,2,3,2,10,0,126,0,0,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_11,1,1,0,0,1,7,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,13,0,0,2,0,0,0,0
LU15_12,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LU15_14,6,4,1,6,0,4,2,2,6,13,1,47,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LU15_15,0,17,0,1,0,3,11,2,4,0,0,27,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_16,5,2,2,10,0,1,38,2,8,0,0,5,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
LU15_17,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
LU15_18,10,6,0,5,1,1,1,2,2,0,0,2,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0
LU15_19,0,1,0,2,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LU15_20,7,11,3,0,1,1,6,2,4,0,0,20,0,0,0,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_21,9,4,2,5,0,5,3,2,3,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_22,9,0,0,1,1,1,7,2,1,0,0,45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LU15_23,2,10,0,0,0,42,97,2,8,0,0,11,0,0,0,1,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LU15_24,15,5,1,1,1,10,0,2,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_25,2,2,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU15_26,0,0,1,0,0,1,5,2,5,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
LU15_27,14,2,0,8,22,0,2,2,2,0,0,0,0,0,0,11,4,4,0,0,0,0,0,0,0,0,5,4,0,0,2,1,0,0,2,0,0,0,3
